t	y
0	0
0.01	0.10035
0.02	0.19364
0.03	0.28026
0.04	0.36057
0.05	0.4349
0.06	0.50361
0.07	0.567
0.08	0.6254
0.09	0.67909
0.1	0.72836
0.11	0.77349
0.12	0.81474
0.13	0.85234
0.14	0.88655
0.15	0.91758
0.16	0.94564
0.17	0.97095
0.18	0.99369
0.19	1.014
0.2	1.0322
0.21	1.0483
0.22	1.0625
0.23	1.0749
0.24	1.0858
0.25	1.0952
0.26	1.1031
0.27	1.1099
0.28	1.1155
0.29	1.1201
0.3	1.1237
0.31	1.1265
0.32	1.1284
0.33	1.1297
0.34	1.1304
0.35	1.1304
0.36	1.13
0.37	1.1291
0.38	1.1279
0.39	1.1262
0.4	1.1243
0.41	1.1221
0.42	1.1197
0.43	1.1171
0.44	1.1143
0.45	1.1114
0.46	1.1084
0.47	1.1053
0.48	1.1022
0.49	1.099
0.5	1.0958
0.51	1.0926
0.52	1.0894
0.53	1.0862
0.54	1.083
0.55	1.0799
0.56	1.0769
0.57	1.0739
0.58	1.0709
0.59	1.068
0.6	1.0652
0.61	1.0625
0.62	1.0599
0.63	1.0573
0.64	1.0548
0.65	1.0524
0.66	1.0501
0.67	1.0479
0.68	1.0458
0.69	1.0437
0.7	1.0418
0.71	1.0399
0.72	1.0381
0.73	1.0364
0.74	1.0347
0.75	1.0332
0.76	1.0317
0.77	1.0303
0.78	1.029
0.79	1.0277
0.8	1.0265
0.81	1.0254
0.82	1.0243
0.83	1.0233
0.84	1.0223
0.85	1.0214
0.86	1.0206
0.87	1.0198
0.88	1.019
0.89	1.0183
0.9	1.0176
0.91	1.017
0.92	1.0165
0.93	1.0159
0.94	1.0154
0.95	1.0149
0.96	1.0145
0.97	1.0141
0.98	1.0137
0.99	1.0133
1	1.013
1.01	1.0127
1.02	1.0124
1.03	1.0122
1.04	1.0119
1.05	1.0117
1.06	1.0115
1.07	1.0113
1.08	1.0111
1.09	1.011
1.1	1.0108
1.11	1.0107
1.12	1.0105
1.13	1.0104
1.14	1.0103
1.15	1.0102
1.16	1.0101
1.17	1.01
1.18	1.0099
1.19	1.0099
1.2	1.0098
1.21	1.0097
1.22	1.0097
1.23	1.0096
1.24	1.0096
1.25	1.0095
1.26	1.0095
1.27	1.0094
1.28	1.0094
1.29	1.0093
1.3	1.0093
1.31	1.0093
1.32	1.0092
1.33	1.0092
1.34	1.0091
1.35	1.0091
1.36	1.0091
1.37	1.009
1.38	1.009
1.39	1.009
1.4	1.0089
1.41	1.0089
1.42	1.0089
1.43	1.0088
1.44	1.0088
1.45	1.0088
1.46	1.0087
1.47	1.0087
1.48	1.0087
1.49	1.0086
1.5	1.0086
1.51	1.0085
1.52	1.0085
1.53	1.0085
1.54	1.0084
1.55	1.0084
1.56	1.0083
1.57	1.0083
1.58	1.0082
1.59	1.0082
1.6	1.0082
1.61	1.0081
1.62	1.0081
1.63	1.008
1.64	1.008
1.65	1.0079
1.66	1.0079
1.67	1.0078
1.68	1.0078
1.69	1.0077
1.7	1.0077
1.71	1.0076
1.72	1.0076
1.73	1.0075
1.74	1.0075
1.75	1.0074
1.76	1.0074
1.77	1.0073
1.78	1.0073
1.79	1.0072
1.8	1.0072
1.81	1.0071
1.82	1.0071
1.83	1.007
1.84	1.007
1.85	1.0069
1.86	1.0069
1.87	1.0068
1.88	1.0068
1.89	1.0067
1.9	1.0067
1.91	1.0066
1.92	1.0066
1.93	1.0065
1.94	1.0065
1.95	1.0064
1.96	1.0064
1.97	1.0063
1.98	1.0063
1.99	1.0062
2	1.0062
2.01	1.0061
2.02	1.0061
2.03	1.006
2.04	1.006
2.05	1.0059
2.06	1.0059
2.07	1.0058
2.08	1.0058
2.09	1.0057
2.1	1.0057
2.11	1.0056
2.12	1.0056
2.13	1.0055
2.14	1.0055
2.15	1.0054
2.16	1.0054
2.17	1.0054
2.18	1.0053
2.19	1.0053
2.2	1.0052
2.21	1.0052
2.22	1.0051
2.23	1.0051
2.24	1.005
2.25	1.005
2.26	1.0049
2.27	1.0049
2.28	1.0049
