t	y1.0	y33.5	y55.2	y62.0	y90.5	y227.0	y399.3
0	0	0	0	0	0	0	0
0.01	4.6342e-05	0.001552	0.0025569	0.0028718	0.0041909	0.0105	0.018444
0.02	0.00017246	0.0057715	0.0095034	0.010672	0.015563	0.038865	0.067985
0.03	0.00036234	0.01211	0.019924	0.022368	0.032584	0.080936	0.14062
0.04	0.00060358	0.020138	0.033094	0.037139	0.054019	0.13321	0.22931
0.05	0.00088656	0.029516	0.048434	0.05433	0.078874	0.19273	0.32796
0.06	0.0012038	0.039975	0.065485	0.073418	0.10634	0.25706	0.43142
0.07	0.0015494	0.051303	0.083878	0.09398	0.13578	0.32415	0.53542
0.08	0.0019189	0.06333	0.10331	0.11568	0.16665	0.39233	0.63657
0.09	0.0023087	0.075921	0.12356	0.13824	0.19852	0.46025	0.73223
0.1	0.0027159	0.088965	0.14441	0.16144	0.23103	0.52683	0.82043
0.11	0.0031383	0.10237	0.16571	0.18509	0.26391	0.59119	0.89986
0.12	0.003574	0.11608	0.18734	0.20905	0.29692	0.6527	0.96969
0.13	0.0040216	0.13001	0.20917	0.23319	0.32985	0.71085	1.0296
0.14	0.0044799	0.14412	0.23113	0.2574	0.36254	0.76529	1.0795
0.15	0.0049479	0.15838	0.25313	0.28161	0.39487	0.8158	1.1198
0.16	0.0054248	0.17274	0.27512	0.30573	0.42672	0.86224	1.151
0.17	0.0059099	0.18717	0.29703	0.32971	0.458	0.90456	1.1738
0.18	0.0064026	0.20165	0.31882	0.35348	0.48864	0.9428	1.1889
0.19	0.0069023	0.21615	0.34045	0.37702	0.51856	0.97701	1.1974
0.2	0.0074086	0.23066	0.36189	0.40026	0.54773	1.0073	1.2001
0.21	0.0079211	0.24515	0.38309	0.42319	0.57609	1.0339	1.1978
0.22	0.0084394	0.2596	0.40404	0.44576	0.60362	1.0569	1.1916
0.23	0.0089631	0.27401	0.42471	0.46796	0.63028	1.0765	1.1822
0.24	0.009492	0.28836	0.44508	0.48976	0.65606	1.093	1.1703
0.25	0.010026	0.30263	0.46512	0.51115	0.68093	1.1066	1.1568
0.26	0.010564	0.31681	0.48483	0.53209	0.7049	1.1175	1.1421
0.27	0.011107	0.3309	0.50419	0.55259	0.72795	1.1258	1.1269
0.28	0.011653	0.34488	0.52318	0.57262	0.75007	1.1319	1.1116
0.29	0.012204	0.35874	0.5418	0.59217	0.77128	1.136	1.0966
0.3	0.012758	0.37248	0.56002	0.61124	0.79156	1.1383	1.0821
0.31	0.013316	0.38608	0.57785	0.62982	0.81093	1.1389	1.0684
0.32	0.013876	0.39954	0.59528	0.6479	0.8294	1.1381	1.0557
0.33	0.01444	0.41285	0.61229	0.66547	0.84697	1.136	1.0441
0.34	0.015007	0.42601	0.62889	0.68254	0.86365	1.1329	1.0337
0.35	0.015576	0.43901	0.64507	0.6991	0.87947	1.1288	1.0244
0.36	0.016147	0.45183	0.66082	0.71514	0.89442	1.124	1.0163
0.37	0.016721	0.46449	0.67614	0.73067	0.90854	1.1185	1.0094
0.38	0.017297	0.47697	0.69104	0.74569	0.92184	1.1125	1.0035
0.39	0.017874	0.48927	0.7055	0.7602	0.93433	1.1062	0.9986
0.4	0.018454	0.50139	0.71953	0.7742	0.94603	1.0995	0.99464
0.41	0.019035	0.51331	0.73314	0.78769	0.95697	1.0927	0.99149
0.42	0.019618	0.52505	0.74631	0.80068	0.96717	1.0857	0.98908
0.43	0.020202	0.53659	0.75906	0.81318	0.97665	1.0787	0.9873
0.44	0.020787	0.54793	0.77138	0.82518	0.98542	1.0718	0.98606
0.45	0.021373	0.55907	0.78328	0.8367	0.99352	1.0649	0.98528
0.46	0.02196	0.57001	0.79476	0.84773	1.001	1.0581	0.98487
0.47	0.022548	0.58075	0.80583	0.8583	1.0078	1.0515	0.98476
0.48	0.023137	0.59128	0.81648	0.86839	1.014	1.0452	0.98487
0.49	0.023726	0.60161	0.82673	0.87803	1.0196	1.039	0.98516
0.5	0.024316	0.61173	0.83658	0.88722	1.0247	1.0332	0.98557
0.51	0.024906	0.62165	0.84603	0.89597	1.0292	1.0276	0.98605
0.52	0.025496	0.63135	0.85509	0.90428	1.0332	1.0223	0.98656
0.53	0.026087	0.64085	0.86377	0.91217	1.0367	1.0173	0.98709
0.54	0.026678	0.65014	0.87208	0.91965	1.0398	1.0126	0.98761
0.55	0.027268	0.65923	0.88001	0.92672	1.0424	1.0082	0.98809
0.56	0.027859	0.6681	0.88758	0.9334	1.0446	1.0041	0.98853
0.57	0.028449	0.67677	0.8948	0.93969	1.0463	1.0003	0.98891
0.58	0.029039	0.68524	0.90167	0.94561	1.0477	0.99684	0.98924
0.59	0.029629	0.6935	0.9082	0.95116	1.0488	0.99365	0.98951
0.6	0.030218	0.70156	0.91439	0.95636	1.0495	0.99074	0.98972
0.61	0.030807	0.70942	0.92026	0.96121	1.0499	0.9881	0.98987
0.62	0.031396	0.71707	0.92582	0.96574	1.05	0.98571	0.98998
0.63	0.031983	0.72453	0.93106	0.96994	1.0498	0.98358	0.99004
0.64	0.03257	0.73179	0.93601	0.97382	1.0494	0.98168	0.99006
0.65	0.033156	0.73886	0.94066	0.97741	1.0487	0.98001	0.99004
0.66	0.033742	0.74573	0.94503	0.98071	1.0478	0.97854	0.99
0.67	0.034327	0.75242	0.94912	0.98372	1.0467	0.97727	0.98994
0.68	0.03491	0.75891	0.95295	0.98647	1.0454	0.97619	0.98986
0.69	0.035493	0.76522	0.95652	0.98896	1.0439	0.97527	0.98977
0.7	0.036075	0.77135	0.95984	0.99119	1.0423	0.97451	0.98968
0.71	0.036655	0.77729	0.96291	0.99319	1.0405	0.9739	0.98959
0.72	0.037235	0.78306	0.96575	0.99496	1.0387	0.97341	0.9895
0.73	0.037813	0.78865	0.96837	0.99651	1.0367	0.97305	0.98941
0.74	0.038391	0.79407	0.97077	0.99785	1.0346	0.9728	0.98933
0.75	0.038967	0.79932	0.97296	0.99899	1.0324	0.97265	0.98926
0.76	0.039542	0.8044	0.97495	0.99995	1.0301	0.97259	0.9892
0.77	0.040115	0.80932	0.97674	1.0007	1.0278	0.9726	0.98916
0.78	0.040688	0.81407	0.97835	1.0013	1.0254	0.97269	0.98912
0.79	0.041258	0.81867	0.97979	1.0018	1.023	0.97284	0.9891
0.8	0.041828	0.82311	0.98105	1.002	1.0206	0.97304	0.98909
0.81	0.042396	0.8274	0.98215	1.0022	1.0181	0.97329	0.9891
0.82	0.042963	0.83153	0.98309	1.0022	1.0156	0.97358	0.98911
0.83	0.043528	0.83553	0.98389	1.002	1.0131	0.9739	0.98914
0.84	0.044092	0.83938	0.98455	1.0018	1.0106	0.97425	0.98917
0.85	0.044655	0.84309	0.98507	1.0014	1.0082	0.97463	0.98922
0.86	0.045215	0.84666	0.98547	1.001	1.0057	0.97502	0.98927
0.87	0.045775	0.8501	0.98574	1.0004	1.0033	0.97542	0.98933
0.88	0.046333	0.8534	0.98591	0.99974	1.0009	0.97584	0.98939
0.89	0.046889	0.85658	0.98596	0.999	0.9985	0.97626	0.98946
0.9	0.047444	0.85964	0.98592	0.99818	0.99617	0.97668	0.98954
0.91	0.047997	0.86257	0.98578	0.99729	0.99388	0.9771	0.98962
0.92	0.048548	0.86539	0.98555	0.99634	0.99164	0.97753	0.9897
0.93	0.049098	0.86809	0.98524	0.99533	0.98945	0.97794	0.98978
0.94	0.049647	0.87068	0.98485	0.99426	0.98732	0.97836	0.98987
0.95	0.050194	0.87316	0.98438	0.99315	0.98524	0.97876	0.98996
0.96	0.050739	0.87553	0.98386	0.992	0.98323	0.97916	0.99004
0.97	0.051282	0.8778	0.98327	0.99081	0.98127	0.97955	0.99013
0.98	0.051824	0.87997	0.98262	0.98958	0.97939	0.97993	0.99022
0.99	0.052365	0.88205	0.98192	0.98833	0.97756	0.98029	0.99031
1	0.052903	0.88403	0.98117	0.98706	0.97581	0.98065	0.9904
1.01	0.05344	0.88591	0.98038	0.98577	0.97413	0.98099	0.99048
1.02	0.053976	0.88771	0.97956	0.98447	0.97251	0.98132	0.99057
1.03	0.05451	0.88943	0.97869	0.98316	0.97097	0.98164	0.99066
1.04	0.055042	0.89106	0.9778	0.98184	0.9695	0.98195	0.99074
1.05	0.055572	0.89261	0.97688	0.98051	0.9681	0.98225	0.99083
1.06	0.056101	0.89408	0.97594	0.97919	0.96677	0.98253	0.99091
1.07	0.056628	0.89548	0.97498	0.97787	0.96551	0.9828	0.99099
1.08	0.057154	0.89681	0.974	0.97656	0.96432	0.98307	0.99108
1.09	0.057678	0.89807	0.97301	0.97526	0.9632	0.98332	0.99116
1.1	0.0582	0.89926	0.97201	0.97397	0.96216	0.98356	0.99124
1.11	0.058721	0.90038	0.97101	0.97269	0.96118	0.98379	0.99132
1.12	0.05924	0.90145	0.97	0.97144	0.96027	0.98401	0.9914
1.13	0.059758	0.90245	0.96898	0.9702	0.95943	0.98423	0.99148
1.14	0.060274	0.9034	0.96797	0.96898	0.95865	0.98443	0.99155
1.15	0.060788	0.90429	0.96697	0.96779	0.95793	0.98463	0.99163
1.16	0.061301	0.90513	0.96596	0.96662	0.95728	0.98482	0.99171
1.17	0.061812	0.90592	0.96497	0.96548	0.95669	0.985	0.99179
1.18	0.062322	0.90666	0.96399	0.96436	0.95616	0.98518	0.99186
1.19	0.06283	0.90736	0.96301	0.96328	0.95569	0.98534	0.99194
1.2	0.063337	0.90801	0.96205	0.96222	0.95528	0.98551	0.99201
1.21	0.063842	0.90862	0.96111	0.9612	0.95492	0.98567	0.99209
1.22	0.064345	0.90918	0.96018	0.96021	0.95461	0.98582	0.99216
1.23	0.064847	0.90972	0.95928	0.95925	0.95436	0.98597	0.99223
1.24	0.065348	0.91021	0.95839	0.95832	0.95415	0.98611	0.99231
1.25	0.065847	0.91067	0.95752	0.95743	0.954	0.98625	0.99238
1.26	0.066344	0.9111	0.95667	0.95658	0.95389	0.98639	0.99245
1.27	0.06684	0.91149	0.95584	0.95576	0.95382	0.98652	0.99252
1.28	0.067335	0.91186	0.95504	0.95498	0.95379	0.98665	0.99259
1.29	0.067828	0.9122	0.95427	0.95423	0.95381	0.98678	0.99266
1.3	0.068319	0.91251	0.95352	0.95352	0.95386	0.9869	0.99273
1.31	0.06881	0.9128	0.95279	0.95284	0.95395	0.98702	0.9928
1.32	0.069298	0.91307	0.95209	0.9522	0.95408	0.98714	0.99287
1.33	0.069786	0.91331	0.95142	0.9516	0.95424	0.98726	0.99294
1.34	0.070272	0.91354	0.95077	0.95104	0.95443	0.98738	0.99301
1.35	0.070756	0.91374	0.95016	0.9505	0.95465	0.98749	0.99307
1.36	0.071239	0.91393	0.94957	0.95001	0.9549	0.9876	0.99314
1.37	0.071721	0.9141	0.94901	0.94955	0.95517	0.98771	0.99321
1.38	0.072202	0.91426	0.94848	0.94913	0.95547	0.98782	0.99327
1.39	0.072681	0.9144	0.94797	0.94874	0.95579	0.98793	0.99334
1.4	0.073159	0.91454	0.9475	0.94838	0.95613	0.98804	0.9934
1.41	0.073635	0.91466	0.94705	0.94806	0.95649	0.98815	0.99346
1.42	0.07411	0.91477	0.94663	0.94777	0.95687	0.98825	0.99353
1.43	0.074584	0.91487	0.94624	0.94751	0.95727	0.98836	0.99359
1.44	0.075057	0.91496	0.94588	0.94729	0.95768	0.98846	0.99365
1.45	0.075528	0.91504	0.94555	0.9471	0.9581	0.98857	0.99371
1.46	0.075998	0.91512	0.94524	0.94693	0.95854	0.98867	0.99377
1.47	0.076467	0.91519	0.94496	0.9468	0.95899	0.98877	0.99383
1.48	0.076935	0.91526	0.94471	0.9467	0.95945	0.98887	0.99389
1.49	0.077401	0.91533	0.94449	0.94662	0.95991	0.98897	0.99395
1.5	0.077867	0.91539	0.94429	0.94658	0.96039	0.98907	0.99401
1.51	0.078331	0.91544	0.94412	0.94656	0.96087	0.98917	0.99407
1.52	0.078794	0.9155	0.94397	0.94656	0.96136	0.98927	0.99413
1.53	0.079255	0.91556	0.94385	0.94659	0.96185	0.98937	0.99418
1.54	0.079716	0.91561	0.94376	0.94665	0.96235	0.98946	0.99424
1.55	0.080176	0.91567	0.94368	0.94673	0.96284	0.98956	0.9943
1.56	0.080634	0.91572	0.94364	0.94683	0.96334	0.98966	0.99435
1.57	0.081091	0.91578	0.94361	0.94696	0.96384	0.98975	0.99441
1.58	0.081547	0.91584	0.94361	0.9471	0.96434	0.98985	0.99446
1.59	0.082002	0.9159	0.94363	0.94727	0.96484	0.98994	0.99451
1.6	0.082456	0.91596	0.94367	0.94746	0.96534	0.99003	0.99457
1.61	0.082909	0.91603	0.94374	0.94766	0.96584	0.99013	0.99462
1.62	0.083361	0.9161	0.94382	0.94789	0.96633	0.99022	0.99467
1.63	0.083812	0.91618	0.94392	0.94813	0.96682	0.99031	0.99472
1.64	0.084262	0.91626	0.94404	0.94838	0.9673	0.9904	0.99477
1.65	0.084711	0.91634	0.94418	0.94866	0.96779	0.99049	0.99482
1.66	0.085159	0.91643	0.94434	0.94895	0.96826	0.99058	0.99487
1.67	0.085606	0.91652	0.94452	0.94925	0.96874	0.99067	0.99492
1.68	0.086052	0.91662	0.94471	0.94956	0.9692	0.99076	0.99497
1.69	0.086497	0.91672	0.94492	0.94989	0.96966	0.99084	0.99502
