K	re1	im1	re2	im2	re3	im3
0	0	0	-2	1	-2	-1
0.011692	-0.091573	0	-2.0165	1.0809	-2.0165	-1.0809
0.012953	-0.10093	0	-2.0186	1.0895	-2.0186	-1.0895
0.014351	-0.11118	0	-2.0209	1.0991	-2.0209	-1.0991
0.015899	-0.12239	0	-2.0235	1.1096	-2.0235	-1.1096
0.017614	-0.13463	0	-2.0266	1.1213	-2.0266	-1.1213
0.019515	-0.14797	0	-2.03	1.1342	-2.03	-1.1342
0.02162	-0.16247	0	-2.034	1.1484	-2.034	-1.1484
0.023953	-0.17821	0	-2.0386	1.1641	-2.0386	-1.1641
0.026537	-0.19524	0	-2.0438	1.1814	-2.0438	-1.1814
0.0294	-0.21361	0	-2.0499	1.2004	-2.0499	-1.2004
0.032573	-0.23337	0	-2.0569	1.2214	-2.0569	-1.2214
0.036087	-0.25453	0	-2.0651	1.2444	-2.0651	-1.2444
0.03998	-0.27709	0	-2.0745	1.2696	-2.0745	-1.2696
0.044294	-0.30104	0	-2.0856	1.2973	-2.0856	-1.2973
0.049073	-0.32633	0	-2.0984	1.3275	-2.0984	-1.3275
0.054368	-0.35286	0	-2.1134	1.3605	-2.1134	-1.3605
0.060234	-0.38052	0	-2.1308	1.3964	-2.1308	-1.3964
0.066732	-0.40915	0	-2.1511	1.4352	-2.1511	-1.4352
0.073932	-0.43856	0	-2.1748	1.4772	-2.1748	-1.4772
0.081909	-0.46853	0	-2.2023	1.5224	-2.2023	-1.5224
0.090746	-0.49881	0	-2.2343	1.5707	-2.2343	-1.5707
0.10054	-0.52914	0	-2.2713	1.6221	-2.2713	-1.6221
0.11138	-0.55925	0	-2.3141	1.6766	-2.3141	-1.6766
0.1234	-0.58889	0	-2.3633	1.7339	-2.3633	-1.7339
0.13672	-0.61782	0	-2.4198	1.7937	-2.4198	-1.7937
0.15147	-0.64583	0	-2.4844	1.8557	-2.4844	-1.8557
0.16781	-0.67273	0	-2.5581	1.9193	-2.5581	-1.9193
0.18591	-0.69839	0	-2.6417	1.9839	-2.6417	-1.9839
0.20597	-0.7227	0	-2.7365	2.0486	-2.7365	-2.0486
0.2282	-0.7456	0	-2.8435	2.1126	-2.8435	-2.1126
0.25282	-0.76705	0	-2.964	2.1745	-2.964	-2.1745
0.2801	-0.78706	0	-3.0994	2.2327	-3.0994	-2.2327
0.31032	-0.80564	0	-3.2512	2.2852	-3.2512	-2.2852
0.3438	-0.82283	0	-3.421	2.3297	-3.421	-2.3297
0.38089	-0.83869	0	-3.6108	2.3627	-3.6108	-2.3627
0.42198	-0.85328	0	-3.8225	2.38	-3.8225	-2.38
0.46751	-0.86667	0	-4.0585	2.376	-4.0585	-2.376
0.51796	-0.87893	0	-4.3212	2.3427	-4.3212	-2.3427
0.57384	-0.89014	0	-4.6135	2.2687	-4.6135	-2.2687
0.63575	-0.90037	0	-4.9384	2.136	-4.9384	-2.136
0.70435	-0.90969	0	-5.2993	1.9137	-5.2993	-1.9137
0.74234	-0.91415	0	-5.4996	1.7461	-5.4996	-1.7461
0.78034	-0.91818	0	-5.7001	1.5341	-5.7001	-1.5341
0.82244	-0.92223	0	-5.9225	1.2197	-5.9225	-1.2197
0.84348	-0.92411	0	-6.0337	1.0085	-6.0337	-1.0085
0.86453	-0.9259	0	-6.145	0.72199	-6.145	-0.72199
0.87462	-0.92673	0	-6.1984	0.52415	-6.1984	-0.52415
0.88471	-0.92754	0	-6.2517	0.14974	-6.2517	-0.14974
0.8856	-0.92761	0	-6.2564	2.0601e-07	-6.2564	-2.0601e-07
0.88648	-0.92769	0	-6.1112	0	-6.411	0
0.95781	-0.93292	0	-5.2322	0	-8.0451	0
1.0612	-0.9393	0	-4.879	0	-9.4936	0
1.1756	-0.94508	0	-4.673	0	-10.914	0
1.3025	-0.95032	0	-4.5303	0	-12.404	0
1.443	-0.95508	0	-4.4235	0	-14.004	0
1.5987	-0.95938	0	-4.3398	0	-15.743	0
1.7712	-0.96328	0	-4.2724	0	-17.645	0
33.106	-0.99801	0	-3.8633	0	-352.04	0
Inf	-1	0	-3.8462	0	Inf	0
