K	re1	im1	re2	im2	re3	im3	re4	im4
0.46263	-2.9175	3.4495	-2.9175	-3.4495	-1.1567	0	-1.8196	0
0.53455	-3.2801	3.5722	-3.2801	-3.5722	-1.1278	0	-1.8712	0
0.60646	-3.6448	3.651	-3.6448	-3.651	-1.1082	0	-1.9093	0
0.70074	-4.1253	3.6929	-4.1253	-3.6929	-1.0902	0	-1.9469	0
0.79501	-4.6076	3.6677	-4.6076	-3.6677	-1.0775	0	-1.9756	0
0.9186	-5.2418	3.531	-5.2418	-3.531	-1.0654	0	-2.0044	0
0.98039	-5.5596	3.4149	-5.5596	-3.4149	-1.0606	0	-2.0162	0
1.0422	-5.8778	3.2629	-5.8778	-3.2629	-1.0566	0	-2.0266	0
1.1232	-6.2953	3.0001	-6.2953	-3.0001	-1.052	0	-2.0387	0
1.2042	-6.7132	2.6451	-6.7132	-2.6451	-1.0481	0	-2.0492	0
1.2852	-7.1315	2.1531	-7.1315	-2.1531	-1.0447	0	-2.0584	0
1.3257	-7.3407	1.8224	-7.3407	-1.8224	-1.0432	0	-2.0627	0
1.3662	-7.55	1.3848	-7.55	-1.3848	-1.0418	0	-2.0666	0
1.3913	-7.6798	1.0016	-7.6798	-1.0016	-1.041	0	-2.069	0
1.4164	-7.8095	0.2337	-7.8095	-0.2337	-1.0402	0	-2.0713	0
1.4178	-7.8168	0	-7.8168	0	-1.0402	0	-2.0714	0
1.4192	-7.5902	0	-8.0581	0	-1.0401	0	-2.0715	0
1.791	-5.486	0	-14.011	0	-1.0312	0	-2.0982	0
2.3478	-4.9338	0	-20.337	0	-1.0234	0	-2.123	0
3.0777	-4.6479	0	-28.2	0	-1.0176	0	-2.1426	0
54.231	-4.0671	0	-560.73	0	-1.001	0	-2.206	0
Inf	-4.0399	0	Inf	0	-1	0	-2.2101	0
