t	y
0	0
0.01	0.080462
0.02	0.1595
0.03	0.23664
0.04	0.31149
0.05	0.38368
0.06	0.45295
0.07	0.51904
0.08	0.58178
0.09	0.64103
0.1	0.69669
0.11	0.7487
0.12	0.79703
0.13	0.8417
0.14	0.88275
0.15	0.92022
0.16	0.95421
0.17	0.98482
0.18	1.0122
0.19	1.0363
0.2	1.0576
0.21	1.0759
0.22	1.0916
0.23	1.1047
0.24	1.1155
0.25	1.1241
0.26	1.1306
0.27	1.1353
0.28	1.1383
0.29	1.1397
0.3	1.1397
0.31	1.1385
0.32	1.1361
0.33	1.1328
0.34	1.1287
0.35	1.1238
0.36	1.1184
0.37	1.1124
0.38	1.1061
0.39	1.0994
0.4	1.0926
0.41	1.0856
0.42	1.0785
0.43	1.0714
0.44	1.0644
0.45	1.0575
0.46	1.0507
0.47	1.0442
0.48	1.0378
0.49	1.0317
0.5	1.0259
0.51	1.0203
0.52	1.0151
0.53	1.0102
0.54	1.0056
0.55	1.0013
0.56	0.99735
0.57	0.99373
0.58	0.99043
0.59	0.98743
0.6	0.98475
0.61	0.98236
0.62	0.98025
0.63	0.97841
0.64	0.97683
0.65	0.9755
0.66	0.97439
0.67	0.9735
0.68	0.97281
0.69	0.97231
0.7	0.97198
0.71	0.97181
0.72	0.97178
0.73	0.97188
0.74	0.97209
0.75	0.97241
0.76	0.97282
0.77	0.9733
0.78	0.97385
0.79	0.97446
0.8	0.97512
0.81	0.97581
0.82	0.97654
0.83	0.97728
0.84	0.97804
0.85	0.9788
0.86	0.97957
0.87	0.98033
0.88	0.98109
0.89	0.98183
0.9	0.98255
0.91	0.98325
0.92	0.98394
0.93	0.98459
0.94	0.98522
0.95	0.98583
0.96	0.9864
0.97	0.98694
0.98	0.98746
0.99	0.98794
1	0.98839
1.01	0.98882
1.02	0.98921
1.03	0.98958
1.04	0.98992
1.05	0.99023
1.06	0.99051
1.07	0.99077
1.08	0.99101
1.09	0.99122
1.1	0.99142
1.11	0.99159
1.12	0.99175
1.13	0.99189
1.14	0.99201
1.15	0.99212
1.16	0.99222
1.17	0.9923
1.18	0.99238
1.19	0.99244
1.2	0.9925
1.21	0.99255
1.22	0.99259
1.23	0.99263
1.24	0.99266
1.25	0.99269
1.26	0.99272
1.27	0.99274
1.28	0.99276
1.29	0.99278
1.3	0.9928
1.31	0.99282
1.32	0.99284
1.33	0.99286
1.34	0.99288
1.35	0.9929
1.36	0.99292
1.37	0.99295
1.38	0.99298
1.39	0.993
1.4	0.99303
1.41	0.99307
1.42	0.9931
1.43	0.99314
1.44	0.99317
1.45	0.99321
1.46	0.99325
1.47	0.9933
1.48	0.99334
1.49	0.99339
1.5	0.99344
1.51	0.99349
1.52	0.99354
1.53	0.99359
1.54	0.99364
1.55	0.9937
1.56	0.99375
1.57	0.99381
1.58	0.99386
1.59	0.99392
1.6	0.99398
1.61	0.99404
1.62	0.9941
1.63	0.99415
1.64	0.99421
1.65	0.99427
1.66	0.99433
1.67	0.99439
1.68	0.99445
1.69	0.9945
1.7	0.99456
1.71	0.99462
1.72	0.99467
1.73	0.99473
1.74	0.99479
1.75	0.99484
1.76	0.99489
1.77	0.99495
1.78	0.995
1.79	0.99505
1.8	0.99511
1.81	0.99516
1.82	0.99521
1.83	0.99526
1.84	0.99531
1.85	0.99535
1.86	0.9954
1.87	0.99545
1.88	0.9955
1.89	0.99554
1.9	0.99559
1.91	0.99563
1.92	0.99568
1.93	0.99572
1.94	0.99576
1.95	0.9958
1.96	0.99585
1.97	0.99589
1.98	0.99593
1.99	0.99597
2	0.99601
2.01	0.99605
2.02	0.99608
2.03	0.99612
2.04	0.99616
2.05	0.9962
2.06	0.99623
2.07	0.99627
2.08	0.99631
2.09	0.99634
2.1	0.99638
2.11	0.99641
2.12	0.99645
2.13	0.99648
2.14	0.99651
2.15	0.99655
2.16	0.99658
2.17	0.99661
2.18	0.99665
2.19	0.99668
2.2	0.99671
2.21	0.99674
