K	re1	im1	re2	im2	re3	im3	re4	im4
131	-0.90386	0	-7.6017	3.3603	-7.6017	-3.3603	-8.3927	0
131.6	-0.90428	0	-7.7073	3.428	-7.7073	-3.428	-8.1811	0
132.2	-0.9047	0	-7.8061	3.5043	-7.8061	-3.5043	-7.983	0
133.39	-0.90552	0	-7.9794	3.6737	-7.9794	-3.6737	-7.6358	0
135.77	-0.90713	0	-8.2361	4.0305	-8.2361	-4.0305	-7.1207	0
138.16	-0.90867	0	-8.4118	4.3711	-8.4118	-4.3711	-6.7677	0
140.54	-0.91017	0	-8.5406	4.6857	-8.5406	-4.6857	-6.5087	0
159.6	-0.92059	0	-9.0088	6.5973	-9.0088	-6.5973	-5.5619	0
163.23	-0.92231	0	-9.0547	6.89	-9.0547	-6.89	-5.4684	0
189.59	-0.93286	0	-9.2617	8.683	-9.2617	-8.683	-5.0438	0
220.19	-0.94201	0	-9.3822	10.345	-9.3822	-10.345	-4.7935	0
232	-0.94491	0	-9.4137	10.914	-9.4137	-10.914	-4.7278	0
255.74	-0.94994	0	-9.4626	11.971	-9.4626	-11.971	-4.6249	0
297.03	-0.9568	0	-9.5201	13.606	-9.5201	-13.606	-4.503	0
344.98	-0.96273	0	-9.5632	15.281	-9.5632	-15.281	-4.4109	0
400	-0.96781	0	-9.5961	16.995	-9.5961	-16.995	-4.3399	0
400.68	-0.96786	0	-9.5965	17.015	-9.5965	-17.015	-4.3392	0
465.36	-0.97229	0	-9.6227	18.827	-9.6227	-18.827	-4.2823	0
540.49	-0.97612	0	-9.6437	20.732	-9.6437	-20.732	-4.2364	0
627.75	-0.97941	0	-9.6608	22.743	-9.6608	-22.743	-4.1989	0
729.09	-0.98226	0	-9.6749	24.874	-9.6749	-24.874	-4.168	0
846.8	-0.98472	0	-9.6865	27.14	-9.6865	-27.14	-4.1423	0
983.5	-0.98683	0	-9.6961	29.553	-9.6961	-29.553	-4.1209	0
1142.3	-0.98866	0	-9.7042	32.128	-9.7042	-32.128	-4.1029	0
1326.7	-0.99023	0	-9.711	34.881	-9.711	-34.881	-4.0878	0
1540.9	-0.99158	0	-9.7167	37.828	-9.7167	-37.828	-4.0749	0
1789.6	-0.99275	0	-9.7216	40.985	-9.7216	-40.985	-4.0641	0
2078.6	-0.99376	0	-9.7257	44.37	-9.7257	-44.37	-4.0548	0
2414.1	-0.99462	0	-9.7292	48.003	-9.7292	-48.003	-4.047	0
2803.9	-0.99537	0	-9.7322	51.905	-9.7322	-51.905	-4.0403	0
3256.5	-0.99601	0	-9.7347	56.096	-9.7347	-56.096	-4.0345	0
3782.2	-0.99657	0	-9.7369	60.602	-9.7369	-60.602	-4.0297	0
1.5069e+06	-0.99999	0	-9.75	1227.5	-9.75	-1227.5	-4.0001	0
Inf	-1	0	Inf	0	Inf	0	-4	0
