K	re1	im1	re2	im2	re3	im3	re4	im4
0	-1.1522e-16	0	-2	1	-2	-1	-20.5	0
2.4711	-0.092565	0	-2.0105	1.0935	-2.0105	-1.0935	-20.386	0
2.87	-0.10676	0	-2.0126	1.1086	-2.0126	-1.1086	-20.368	0
3.3334	-0.12297	0	-2.0152	1.126	-2.0152	-1.126	-20.347	0
3.8715	-0.14143	0	-2.0185	1.1461	-2.0185	-1.1461	-20.322	0
4.4965	-0.16238	0	-2.0226	1.1695	-2.0226	-1.1695	-20.292	0
5.2224	-0.18602	0	-2.0277	1.1965	-2.0277	-1.1965	-20.259	0
6.0656	-0.21256	0	-2.0342	1.2278	-2.0342	-1.2278	-20.219	0
7.0448	-0.24214	0	-2.0424	1.2639	-2.0424	-1.2639	-20.173	0
8.1821	-0.27484	0	-2.0529	1.3055	-2.0529	-1.3055	-20.119	0
9.503	-0.31063	0	-2.0663	1.3534	-2.0663	-1.3534	-20.057	0
11.037	-0.34931	0	-2.0836	1.4082	-2.0836	-1.4082	-19.983	0
12.819	-0.39057	0	-2.1059	1.4708	-2.1059	-1.4708	-19.898	0
14.889	-0.43385	0	-2.1345	1.542	-2.1345	-1.542	-19.797	0
17.292	-0.47848	0	-2.1711	1.6223	-2.1711	-1.6223	-19.679	0
20.084	-0.52363	0	-2.2179	1.7124	-2.2179	-1.7124	-19.541	0
23.326	-0.5684	0	-2.2772	1.8127	-2.2772	-1.8127	-19.377	0
27.092	-0.61195	0	-2.352	1.9233	-2.352	-1.9233	-19.184	0
31.466	-0.65352	0	-2.4458	2.0442	-2.4458	-2.0442	-18.955	0
36.546	-0.69252	0	-2.5629	2.175	-2.5629	-2.175	-18.682	0
42.446	-0.72857	0	-2.7087	2.3151	-2.7087	-2.3151	-18.354	0
44.7	-0.7403	0	-2.7669	2.3656	-2.7669	-2.3656	-18.226	0
49.298	-0.76145	0	-2.8901	2.4634	-2.8901	-2.4634	-17.958	0
57.257	-0.79112	0	-3.1168	2.6176	-3.1168	-2.6176	-17.475	0
64.7	-0.81301	0	-3.3452	2.7456	-3.3452	-2.7456	-16.997	0
66.501	-0.81765	0	-3.403	2.7743	-3.403	-2.7743	-16.876	0
77.237	-0.8412	0	-3.7707	2.9273	-3.7707	-2.9273	-16.117	0
89.706	-0.86199	0	-4.2594	3.0644	-4.2594	-3.0644	-15.119	0
102	-0.8778	0	-4.8375	3.1503	-4.8375	-3.1503	-13.947	0
104.19	-0.88025	0	-4.955	3.1594	-4.955	-3.1594	-13.71	0
121.01	-0.89623	0	-6.156	3.1516	-6.156	-3.1516	-11.292	0
130.74	-0.90368	0	-7.5538	3.3338	-7.5538	-3.3338	-8.4888	0
130.74	-0.90368	0	-7.5538	3.3338	-7.5538	-3.3338	-8.4888	0
130.87	-0.90377	0	-7.5778	3.3468	-7.5778	-3.3468	-8.4405	0
130.87	-0.90377	0	-7.5778	3.3468	-7.5778	-3.3468	-8.4405	0
131	-0.90386	0	-7.6017	3.3603	-7.6017	-3.3603	-8.3927	0
