K	re1	im1	re2	im2	re3	im3	re4	im4
0.0064622	-0.024358	0.17709	-0.024358	-0.17709	-2.0108	1.0061	-2.0108	-1.0061
0.0086332	-0.032451	0.20366	-0.032451	-0.20366	-2.0146	1.0082	-2.0146	-1.0082
0.011534	-0.043192	0.2338	-0.043192	-0.2338	-2.0196	1.0109	-2.0196	-1.0109
0.015409	-0.057411	0.26778	-0.057411	-0.26778	-2.0265	1.0145	-2.0265	-1.0145
0.020585	-0.076171	0.30573	-0.076171	-0.30573	-2.0359	1.0193	-2.0359	-1.0193
0.027502	-0.1008	0.34756	-0.1008	-0.34756	-2.0489	1.0255	-2.0489	-1.0255
0.036741	-0.13293	0.3928	-0.13293	-0.3928	-2.0671	1.0337	-2.0671	-1.0337
0.049085	-0.1744	0.44036	-0.1744	-0.44036	-2.0929	1.044	-2.0929	-1.044
0.065576	-0.22714	0.48828	-0.22714	-0.48828	-2.1299	1.0566	-2.1299	-1.0566
0.087607	-0.29272	0.53333	-0.29272	-0.53333	-2.1843	1.0706	-2.1843	-1.0706
0.11704	-0.37154	0.57096	-0.37154	-0.57096	-2.2657	1.0826	-2.2657	-1.0826
0.1367	-0.4187	0.58618	-0.4187	-0.58618	-2.3256	1.085	-2.3256	-1.085
0.15636	-0.46167	0.59574	-0.46167	-0.59574	-2.3897	1.0821	-2.3897	-1.0821
0.20889	-0.55799	0.60309	-0.55799	-0.60309	-2.5794	1.0405	-2.5794	-1.0405
0.22644	-0.58491	0.60174	-0.58491	-0.60174	-2.648	1.0132	-2.648	-1.0132
0.24399	-0.6096	0.59921	-0.6096	-0.59921	-2.7189	0.97759	-2.7189	-0.97759
0.27908	-0.65306	0.59169	-0.65306	-0.59169	-2.8665	0.87589	-2.8665	-0.87589
0.30097	-0.67673	0.58593	-0.67673	-0.58593	-2.962	0.78517	-2.962	-0.78517
0.32286	-0.69816	0.57968	-0.69816	-0.57968	-3.0598	0.66291	-3.0598	-0.66291
0.34475	-0.71762	0.57314	-0.71762	-0.57314	-3.1596	0.48526	-3.1596	-0.48526
0.3557	-0.72669	0.56981	-0.72669	-0.56981	-3.2101	0.35106	-3.2101	-0.35106
0.36117	-0.73107	0.56813	-0.73107	-0.56813	-3.2355	0.25405	-3.2355	-0.25405
0.36664	-0.73535	0.56645	-0.73535	-0.56645	-3.261	0.064142	-3.261	-0.064142
0.36701	-0.73563	0.56634	-0.73563	-0.56634	-3.2627	0	-3.2627	0
0.36738	-0.73592	0.56622	-0.73592	-0.56622	-3.2003	0	-3.3287	0
0.37284	-0.74008	0.56454	-0.74008	-0.56454	-3.0324	0	-3.5476	0
0.4981	-0.81551	0.52703	-0.81551	-0.52703	-2.4909	0	-5.3023	0
0.66544	-0.87904	0.48422	-0.87904	-0.48422	-2.2967	0	-7.1919	0
0.88901	-0.9321	0.43956	-0.9321	-0.43956	-2.169	0	-9.648	0
1.1877	-0.97655	0.39493	-0.97655	-0.39493	-2.0731	0	-12.908	0
1.5867	-1.0141	0.35114	-1.0141	-0.35114	-1.9963	0	-17.255	0
2.1198	-1.046	0.30838	-1.046	-0.30838	-1.9326	0	-23.06	0
2.832	-1.0733	0.2664	-1.0733	-0.2664	-1.8787	0	-30.815	0
3.7834	-1.0969	0.22453	-1.0969	-0.22453	-1.8324	0	-41.175	0
5.0545	-1.1174	0.18153	-1.1174	-0.18153	-1.7923	0	-55.017	0
6.7527	-1.1352	0.1347	-1.1352	-0.1347	-1.7575	0	-73.509	0
9.0213	-1.1507	0.074771	-1.1507	-0.074771	-1.727	0	-98.214	0
10.431	-1.1577	0.006058	-1.1577	-0.006058	-1.7132	0	-113.56	0
10.441	-1.1578	9.9208e-08	-1.1578	-9.9208e-08	-1.7131	0	-113.68	0
10.452	-1.1518	0	-1.1639	0	-1.713	0	-113.79	0
12.052	-1.0932	0	-1.2353	0	-1.7003	0	-131.22	0
16.101	-1.0575	0	-1.2948	0	-1.6769	0	-175.31	0
21.511	-1.0391	0	-1.3339	0	-1.6564	0	-234.22	0
28.738	-1.0276	0	-1.3636	0	-1.6384	0	-312.93	0
574.7	-1.0012	0	-1.4848	0	-1.5442	0	-6258.5	0
Inf	-1	0	-1.5152	0	-1.5152	0	Inf	0
