K	re1	im1	re2	im2	re3	im3	re4	im4
0	0	0	0	0	-2	1	-2	-1
1.97e-05	-7.4858e-05	0.0099242	-7.4858e-05	-0.0099242	-2	1	-2	-1
2.6318e-05	-0.00010001	0.011471	-0.00010001	-0.011471	-2	1	-2	-1
3.5161e-05	-0.0001336	0.013258	-0.0001336	-0.013258	-2.0001	1	-2.0001	-1
4.6973e-05	-0.00017849	0.015324	-0.00017849	-0.015324	-2.0001	1	-2.0001	-1
6.2755e-05	-0.00023845	0.017711	-0.00023845	-0.017711	-2.0001	1.0001	-2.0001	-1.0001
8.3838e-05	-0.00031855	0.02047	-0.00031855	-0.02047	-2.0001	1.0001	-2.0001	-1.0001
0.00011201	-0.00042556	0.023659	-0.00042556	-0.023659	-2.0002	1.0001	-2.0002	-1.0001
0.00014964	-0.00056851	0.027343	-0.00056851	-0.027343	-2.0002	1.0001	-2.0002	-1.0001
0.00019991	-0.00075946	0.031601	-0.00075946	-0.031601	-2.0003	1.0002	-2.0003	-1.0002
0.00026707	-0.0010145	0.03652	-0.0010145	-0.03652	-2.0004	1.0003	-2.0004	-1.0003
0.0003568	-0.0013552	0.042203	-0.0013552	-0.042203	-2.0006	1.0003	-2.0006	-1.0003
0.00047667	-0.0018103	0.048766	-0.0018103	-0.048766	-2.0008	1.0005	-2.0008	-1.0005
0.00063681	-0.002418	0.056345	-0.002418	-0.056345	-2.001	1.0006	-2.001	-1.0006
0.00085076	-0.0032295	0.065094	-0.0032295	-0.065094	-2.0014	1.0008	-2.0014	-1.0008
0.0011366	-0.004313	0.075189	-0.004313	-0.075189	-2.0019	1.0011	-2.0019	-1.0011
0.0015184	-0.0057592	0.08683	-0.0057592	-0.08683	-2.0025	1.0014	-2.0025	-1.0014
0.0020286	-0.0076893	0.10024	-0.0076893	-0.10024	-2.0034	1.0019	-2.0034	-1.0019
0.0027101	-0.010264	0.11568	-0.010264	-0.11568	-2.0045	1.0026	-2.0045	-1.0026
0.0036207	-0.013696	0.13343	-0.013696	-0.13343	-2.006	1.0034	-2.006	-1.0034
0.0048371	-0.01827	0.15379	-0.01827	-0.15379	-2.0081	1.0046	-2.0081	-1.0046
